tab	specimens
specimen	sample	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_type	aniso_v1	aniso_v2	aniso_v3	dir_tilt_correction	analysts	description	software_packages	citations	method_codes
mc121d1	mc121d	3.8009820764223514	0.3973916251377578	5.280744271939626	AARM	0.35662037 : 275.2115939355488 : 62.28265887689167	0.34424537 : 91.10286631957095 : 27.656675826639116	0.29913428 : 181.98957445475503 : 1.6914628613181304	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc121f2	mc121f	2.1145114363685824	0.6817595779677474	2.089429856676757	AARM	0.35645628 : 275.1946960475422 : 22.544334779544556	0.3379611 : 81.1486100948969 : 66.83320516485473	0.3055826 : 183.08856555258842 : 5.05919477099631	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc121g1	mc121g	0.2464143698379129	0.029429050801282296	0.3334265218791318	AARM	0.33830154 : 307.9774407148693 : 53.42907280079812	0.33552393 : 64.11999408880416 : 18.101337835253855	0.32617456 : 165.24689213806278 : 30.55693463110955	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc121k1	mc121k	6.447241874510458	0.173920212316275	10.55948042566	AARM	0.35331902 : 50.470525154744905 : 51.22276519197488	0.34719592 : 275.2617430056679 : 29.688857343513188	0.29948506 : 171.5748983658539 : 22.53933381377821	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc121k2	mc121k	5.532800655377276	0.35125362233363777	8.317871993957569	AARM	0.3537425 : 54.89434305751379 : 42.076041825907566	0.34482536 : 271.91014185918596 : 41.4904073084079	0.30143213 : 163.5995186984618 : 19.556190776421715	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc142c1	mc142c	18.146068461632833	0.61509026817389	29.17276586213935	AARM	0.37525386 : 92.05081461409868 : 45.38082737296682	0.3611024 : 238.00857805486487 : 39.272264565561116	0.26364374 : 343.1557066665727 : 17.721804971922726	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc142d1	mc142d	18.40065968763847	0.4249377580027145	30.47383732192009	AARM	0.36965203 : 53.02040211154533 : 45.33685638725105	0.35924393 : 215.9673886697373 : 43.37593835958212	0.27110404 : 314.1998933129127 : 8.617436132392042	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc142e2	mc142e	13.304105585115247	0.37297046421229757	21.72332795383195	AARM	0.3727837 : 111.18704622541543 : 29.242462376874293	0.36049613 : 245.6194032054967 : 51.35013288543052	0.26672018 : 7.506473520492393 : 22.901488704670328	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc142f2	mc142f	14.819192073231607	1.047810022367318	21.943151255949516	AARM	0.37613174 : 83.36914557520306 : 41.67283611388999	0.35660762 : 215.78390064664123 : 37.15327749914754	0.26726064 : 327.548300941365 : 26.07375573655911	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc142k2	mc142k	11.608788804618396	4.046135167614193	11.037568051225636	AARM	0.3821456 : 234.8880371990481 : 33.12689592570105	0.342044 : 106.42671674138555 : 43.62580767802569	0.2758104 : 345.4934927029514 : 28.338308156373074	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc144e1	mc144e	18.715289541699445	6.811134477632673	17.39364323589786	AARM	0.4047651 : 337.1595195663972 : 61.45984671285423	0.34520608 : 117.9807212041253 : 22.859857752369493	0.25002885 : 214.99235343882305 : 16.14827437550923	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc144f1	mc144f	10.315292841023272	3.3768683053885704	10.118805489588185	AARM	0.4010614 : 43.71081329168293 : 67.61846316832889	0.34660363 : 311.02447689607123 : 1.1056732407653997	0.25233498 : 220.56978687731248 : 22.35122510158455	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc144h1	mc144h	19.282915310470333	1.0289894706512994	29.606780602848335	AARM	0.3654308 : 2.8624603507226474 : 80.02539400571112	0.35235474 : 243.0269980758292 : 5.000489931807416	0.2822145 : 152.26802995973554 : 8.608494875514562	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc15a	mc15a	4.03289147243254	1.2356771841236969	4.080511179540509	AARM	0.3569267 : 259.25246078884214 : 20.63268425179333	0.33838433 : 76.01576391476733 : 69.33713304368283	0.30468896 : 168.85014466063905 : 1.068364095735915	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc15b	mc15b	1.3402237021906618	0.8408574389446295	0.8344263034852782	AARM	0.36040592 : 246.54033127166787 : 11.838744644595502	0.3332987 : 143.67753711607043 : 46.72277801496313	0.30629537 : 346.98407220628 : 40.85221442948807	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
mc15c	mc15c	3.0604222800246976	1.0636032939823072	2.9141857301882528	AARM	0.3647749 : 300.64314260297465 : 13.430933359561829	0.33896977 : 188.08089413723775 : 58.102140703808445	0.2962553 : 38.041578695653925 : 28.334516932574235	-1.0		F_crit: 9.0133; F12,F23_crit: 9.5522	pmagpy-3.20.0	This study	
