tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	measurement_positions	measurement_sd_z	measurement_sd_y	treatment_temp	treatment_dc_field	measurement_csd	treatment_dc_field_phi	er_citation_names	magic_instrument_codes	measurement_inc	measurement_description	magic_software_packages	measurement_dec	er_analyst_mail_names	measurement_temp	magic_method_codes	treatment_ac_field	measurement_flag	measurement_magn_moment	treatment_dc_field_theta	measurement_sd_x	measurement_standard
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	1	1	2.14e-09	8.63e-09	273	0	2.3		This study		-53.2		pmagpy-3.2.1	37.2		273	LT-NO:LP-DIR-T	0	g	3.93e-07		1.35e-08	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	2	1	2.78e-09	7.51e-09	77	0	2.0		This study		-50.9		pmagpy-3.2.1	36.7		273	LT-LT-Z:LP-DIR-T	0	g	4.29e-07		1.25e-08	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	3	1	3.42e-09	1.28e-08	373.0	0	2.3		This study		-48.5		pmagpy-3.2.1	34.8		273	LT-T-Z:LP-DIR-T	0	g	5.32e-07		1.65e-08	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	4	1	1.04e-08	2.34e-08	423.0	0	3.0		This study	hargrave 2014-10-22 15:53:24	-47.6		pmagpy-3.2.1	029.3		273	LT-T-Z:LP-DIR-T	0	g	6.71e-07		2.39e-08	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	5	1	7.42e-09	1.31e-08	473.0	0	2.2		This study	hargrave 2014-10-27 16:19:50	-47.3		pmagpy-3.2.1	028.6		273	LT-T-Z:LP-DIR-T	0	g	6.55e-07		2.00e-08	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	6	1	4.18e-09	2.17e-08	523.0	0	3.1		This study	hargrave 2014-10-28 13:42:19	-49.3		pmagpy-3.2.1	028.5		273	LT-T-Z:LP-DIR-T	0	g	5.27e-07		1.81e-08	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	7	1	2.98e-09	1.36e-08	573.0	0	3.0		This study	hargrave 2014-10-28 20:40:03	-52.8		pmagpy-3.2.1	034.0		273	LT-T-Z:LP-DIR-T	0	g	3.81e-07		1.42e-08	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	8	1	1.87e-09	3.67e-09	623.0	0	2.0		This study	hargrave 2014-10-29 20:53:02	-57.3		pmagpy-3.2.1	040.3		273	LT-T-Z:LP-DIR-T	0	g	2.40e-07		7.58e-09	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	9	1	1.36e-09	5.83e-09	673.0	0	3.2		This study	hargrave 2014-11-03 17:13:00	-58.4		pmagpy-3.2.1	043.8		273	LT-T-Z:LP-DIR-T	0	g	1.97e-07		9.19e-09	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	10	1	1.36e-09	2.86e-09	698.0	0	2.1		This study	hargrave 2014-11-04 12:03:42	-59.9		pmagpy-3.2.1	046.8		273	LT-T-Z:LP-DIR-T	0	g	1.78e-07		5.82e-09	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	11	1	8.90e-10	3.62e-09	723.0	0	2.3		This study	hargrave 2014-11-10 12:53:05	-61.0		pmagpy-3.2.1	049.9		273	LT-T-Z:LP-DIR-T	0	g	1.64e-07		5.48e-09	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	12	1	5.24e-10	2.88e-09	748.0	0	1.7		This study	hargrave 2014-11-10 22:11:56	-63.2		pmagpy-3.2.1	053.3		273	LT-T-Z:LP-DIR-T	0	g	1.52e-07		3.62e-09	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	13	1	1.20e-09	3.57e-09	773.0	0	2.7		This study	hargrave 2014-11-13 11:46:05	-64.0		pmagpy-3.2.1	059.3		273	LT-T-Z:LP-DIR-T	0	g	1.41e-07		5.59e-09	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	14	1	5.73e-10	1.35e-09	788.0	0	1.7		This study	hargrave 2014-11-17 17:26:46	-65.4		pmagpy-3.2.1	064.8		273	LT-T-Z:LP-DIR-T	0	g	1.33e-07		3.75e-09	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	15	1	6.38e-10	8.48e-10	803.0	0	0.5		This study	hargrave 2014-11-24 18:17:16	-66.0		pmagpy-3.2.1	065.5		273	LT-T-Z:LP-DIR-T	0	g	1.29e-07		9.51e-10	
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	16	1	7.35e-10	7.81e-10	818.0	0	0.5		This study	hargrave 2014-12-01 16:59:18	-66.2		pmagpy-3.2.1	069.9		273	LT-T-Z:LP-DIR-T	0	g	1.28e-07		1.06e-09	
